Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
4-4-4,53,196,1032,836,2.0,6.0,4.26530612244898,0.8599465744665091,0.7395081109366833
4-4-4,54,196,1029,833,2.0,6.0,4.25,0.8125616347431192,0.6602564102564102
4-4-4,55,196,1062,866,2.0,6.0,4.4183673469387745,0.9914865233086472,0.9830455259026686
4-4-4,56,196,1020,824,3.0,6.0,4.204081632653061,0.8159837061403561,0.665829408686551
4-4-4,57,196,1011,815,2.0,5.0,4.158163265306122,0.6946570405437306,0.4825484039769742
4-4-4,58,196,1092,896,3.0,6.0,4.571428571428571,1.154700538379251,1.3333333333333321
4-4-4,59,196,1062,866,2.0,6.0,4.418367346938775,0.9914865233086473,0.9830455259026688
4-4-4,6,196,1044,848,3.0,5.0,4.326530612244898,0.8445968263367354,0.7133437990580855
4-4-4,60,196,1041,845,2.0,6.0,4.311224489795919,0.888719349783286,0.7898220826792267
4-4-4,62,196,1050,854,3.0,6.0,4.357142857142857,0.9948585777604726,0.9897435897435902
4-4-4,63,196,1014,818,2.0,5.0,4.173469387755102,0.7092865350489013,0.5030873888016762
4-4-4,64,196,1038,842,2.0,6.0,4.295918367346939,0.8618308915382581,0.7427524856096288
4-4-4,65,196,999,803,3.0,5.0,4.096938775510204,0.6530330154818067,0.42645211930926163
4-4-4,66,196,1014,818,2.0,5.0,4.173469387755102,0.6872540709464334,0.47231815803244537
4-4-4,67,196,987,791,2.0,5.0,4.0357142857142865,0.548891657143786,0.3012820512820515
4-4-4,69,196,999,803,2.0,5.0,4.096938775510204,0.6290332968452711,0.3956828885400309
4-4-4,7,196,1029,833,3.0,6.0,4.25,0.8675045259617397,0.7525641025641026
4-4-4,70,196,1050,854,2.0,6.0,4.357142857142857,0.9634340289844079,0.9282051282051289
4-4-4,71,196,987,791,2.0,5.0,4.0357142857142865,0.548891657143786,0.3012820512820515
4-4-4,72,196,1041,845,2.0,5.0,4.311224489795919,0.7779503185061641,0.6052066980638422
4-4-4,73,196,1056,860,2.0,6.0,4.387755102040816,0.9936480629733846,0.9873364730507593
4-4-4,74,196,1023,827,2.0,5.0,4.219387755102041,0.7287725069070948,0.5311093668236515
4-4-4,75,196,1050,854,2.0,6.0,4.357142857142857,0.9634340289844072,0.9282051282051276
4-4-4,76,196,999,803,2.0,5.0,4.096938775510204,0.6290332968452709,0.3956828885400307
4-4-4,77,196,1005,809,3.0,5.0,4.127551020408164,0.6861681953102768,0.47082679225536217
4-4-4,78,196,1080,884,3.0,6.0,4.5102040816326525,1.1116621692987148,1.2357927786499243
4-4-4,79,196,1017,821,2.0,5.0,4.188775510204081,0.7232948333926906,0.5231554160125601
