Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
12-4-4,30,1,68,67,67.0,67.0,67.0,0.0,0.0
12-4-4,31,1,63,62,62.0,62.0,62.0,0.0,0.0
12-4-4,32,1,61,60,60.0,60.0,60.0,0.0,0.0
12-4-4,33,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,34,1,64,63,63.0,63.0,63.0,0.0,0.0
12-4-4,35,1,60,59,59.0,59.0,59.0,0.0,0.0
12-4-4,36,1,68,67,67.0,67.0,67.0,0.0,0.0
12-4-4,37,1,71,70,70.0,70.0,70.0,0.0,0.0
12-4-4,38,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,39,1,64,63,63.0,63.0,63.0,0.0,0.0
12-4-4,4,1,60,59,59.0,59.0,59.0,0.0,0.0
12-4-4,40,1,74,73,73.0,73.0,73.0,0.0,0.0
12-4-4,41,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,42,1,66,65,65.0,65.0,65.0,0.0,0.0
12-4-4,43,1,70,69,69.0,69.0,69.0,0.0,0.0
12-4-4,44,1,62,61,61.0,61.0,61.0,0.0,0.0
12-4-4,45,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,46,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,47,1,66,65,65.0,65.0,65.0,0.0,0.0
12-4-4,48,1,64,63,63.0,63.0,63.0,0.0,0.0
12-4-4,49,1,62,61,61.0,61.0,61.0,0.0,0.0
12-4-4,5,1,72,71,71.0,71.0,71.0,0.0,0.0
12-4-4,50,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,51,1,65,64,64.0,64.0,64.0,0.0,0.0
12-4-4,52,1,75,74,74.0,74.0,74.0,0.0,0.0
12-4-4,53,1,63,62,62.0,62.0,62.0,0.0,0.0
12-4-4,54,1,63,62,62.0,62.0,62.0,0.0,0.0
12-4-4,55,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,56,1,63,62,62.0,62.0,62.0,0.0,0.0
12-4-4,57,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,58,1,69,68,68.0,68.0,68.0,0.0,0.0
12-4-4,59,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,6,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,60,1,61,60,60.0,60.0,60.0,0.0,0.0
12-4-4,61,1,72,71,71.0,71.0,71.0,0.0,0.0
12-4-4,62,1,64,63,63.0,63.0,63.0,0.0,0.0
12-4-4,63,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,64,1,69,68,68.0,68.0,68.0,0.0,0.0
12-4-4,65,1,57,56,56.0,56.0,56.0,0.0,0.0
12-4-4,66,1,66,65,65.0,65.0,65.0,0.0,0.0
12-4-4,67,1,70,69,69.0,69.0,69.0,0.0,0.0
12-4-4,68,1,60,59,59.0,59.0,59.0,0.0,0.0
12-4-4,69,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,7,1,71,70,70.0,70.0,70.0,0.0,0.0
12-4-4,70,1,58,57,57.0,57.0,57.0,0.0,0.0
12-4-4,71,1,94,93,93.0,93.0,93.0,0.0,0.0
12-4-4,72,1,74,73,73.0,73.0,73.0,0.0,0.0
12-4-4,73,1,64,63,63.0,63.0,63.0,0.0,0.0
12-4-4,74,1,78,77,77.0,77.0,77.0,0.0,0.0
12-4-4,75,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,76,1,61,60,60.0,60.0,60.0,0.0,0.0
12-4-4,77,1,68,67,67.0,67.0,67.0,0.0,0.0
12-4-4,78,1,70,69,69.0,69.0,69.0,0.0,0.0
12-4-4,79,1,65,64,64.0,64.0,64.0,0.0,0.0
