Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
12-4-4,42,1,356,355,355.0,355.0,355.0,0.0,0.0
12-4-4,43,1,72,71,71.0,71.0,71.0,0.0,0.0
12-4-4,44,1,454,453,453.0,453.0,453.0,0.0,0.0
12-4-4,45,1,359,358,358.0,358.0,358.0,0.0,0.0
12-4-4,46,1,81,80,80.0,80.0,80.0,0.0,0.0
12-4-4,47,1,565,564,564.0,564.0,564.0,0.0,0.0
12-4-4,48,1,360,359,359.0,359.0,359.0,0.0,0.0
12-4-4,49,1,374,373,373.0,373.0,373.0,0.0,0.0
12-4-4,5,1,460,459,459.0,459.0,459.0,0.0,0.0
12-4-4,50,1,75,74,74.0,74.0,74.0,0.0,0.0
12-4-4,51,1,647,646,646.0,646.0,646.0,0.0,0.0
12-4-4,52,1,556,555,555.0,555.0,555.0,0.0,0.0
12-4-4,53,1,71,70,70.0,70.0,70.0,0.0,0.0
12-4-4,54,1,458,457,457.0,457.0,457.0,0.0,0.0
12-4-4,55,1,368,367,367.0,367.0,367.0,0.0,0.0
12-4-4,56,1,456,455,455.0,455.0,455.0,0.0,0.0
12-4-4,57,1,71,70,70.0,70.0,70.0,0.0,0.0
12-4-4,58,1,466,465,465.0,465.0,465.0,0.0,0.0
12-4-4,59,1,266,265,265.0,265.0,265.0,0.0,0.0
12-4-4,6,1,752,751,751.0,751.0,751.0,0.0,0.0
12-4-4,60,1,360,359,359.0,359.0,359.0,0.0,0.0
12-4-4,61,1,560,559,559.0,559.0,559.0,0.0,0.0
12-4-4,62,1,264,263,263.0,263.0,263.0,0.0,0.0
12-4-4,63,1,457,456,456.0,456.0,456.0,0.0,0.0
12-4-4,64,1,70,69,69.0,69.0,69.0,0.0,0.0
12-4-4,65,1,259,258,258.0,258.0,258.0,0.0,0.0
12-4-4,66,1,92,91,91.0,91.0,91.0,0.0,0.0
12-4-4,67,1,460,459,459.0,459.0,459.0,0.0,0.0
12-4-4,68,1,262,261,261.0,261.0,261.0,0.0,0.0
12-4-4,69,1,553,552,552.0,552.0,552.0,0.0,0.0
12-4-4,7,1,372,371,371.0,371.0,371.0,0.0,0.0
12-4-4,70,1,68,67,67.0,67.0,67.0,0.0,0.0
12-4-4,71,1,476,475,475.0,475.0,475.0,0.0,0.0
12-4-4,72,1,696,695,695.0,695.0,695.0,0.0,0.0
12-4-4,73,1,365,364,364.0,364.0,364.0,0.0,0.0
12-4-4,74,1,113,112,112.0,112.0,112.0,0.0,0.0
12-4-4,75,1,457,456,456.0,456.0,456.0,0.0,0.0
12-4-4,76,1,258,257,257.0,257.0,257.0,0.0,0.0
12-4-4,77,1,73,72,72.0,72.0,72.0,0.0,0.0
12-4-4,78,1,265,264,264.0,264.0,264.0,0.0,0.0
12-4-4,79,1,363,362,362.0,362.0,362.0,0.0,0.0
12-4-4,8,1,553,552,552.0,552.0,552.0,0.0,0.0
12-4-4,80,1,653,652,652.0,652.0,652.0,0.0,0.0
12-4-4,81,1,364,363,363.0,363.0,363.0,0.0,0.0
12-4-4,82,1,255,254,254.0,254.0,254.0,0.0,0.0
12-4-4,83,1,456,455,455.0,455.0,455.0,0.0,0.0
12-4-4,84,1,359,358,358.0,358.0,358.0,0.0,0.0
12-4-4,85,1,261,260,260.0,260.0,260.0,0.0,0.0
12-4-4,86,1,258,257,257.0,257.0,257.0,0.0,0.0
12-4-4,87,1,70,69,69.0,69.0,69.0,0.0,0.0
12-4-4,88,1,362,361,361.0,361.0,361.0,0.0,0.0
12-4-4,89,1,354,353,353.0,353.0,353.0,0.0,0.0
12-4-4,9,1,558,557,557.0,557.0,557.0,0.0,0.0
12-4-4,90,1,361,360,360.0,360.0,360.0,0.0,0.0
12-4-4,91,1,255,254,254.0,254.0,254.0,0.0,0.0
12-4-4,92,1,456,455,455.0,455.0,455.0,0.0,0.0
12-4-4,93,1,262,261,261.0,261.0,261.0,0.0,0.0
12-4-4,94,1,73,72,72.0,72.0,72.0,0.0,0.0
12-4-4,95,1,61,60,60.0,60.0,60.0,0.0,0.0
12-4-4,96,1,74,73,73.0,73.0,73.0,0.0,0.0
12-4-4,97,1,463,462,462.0,462.0,462.0,0.0,0.0
12-4-4,99,1,559,558,558.0,558.0,558.0,0.0,0.0
14-4-4,1,1,465,464,464.0,464.0,464.0,0.0,0.0
14-4-4,10,1,105,104,104.0,104.0,104.0,0.0,0.0
14-4-4,100,1,662,661,661.0,661.0,661.0,0.0,0.0
14-4-4,11,1,83,82,82.0,82.0,82.0,0.0,0.0
14-4-4,12,1,371,370,370.0,370.0,370.0,0.0,0.0
14-4-4,13,1,669,668,668.0,668.0,668.0,0.0,0.0
14-4-4,14,1,376,375,375.0,375.0,375.0,0.0,0.0
14-4-4,15,1,471,470,470.0,470.0,470.0,0.0,0.0
14-4-4,16,1,269,268,268.0,268.0,268.0,0.0,0.0
14-4-4,17,1,375,374,374.0,374.0,374.0,0.0,0.0
14-4-4,18,1,85,84,84.0,84.0,84.0,0.0,0.0
14-4-4,2,1,281,280,280.0,280.0,280.0,0.0,0.0
14-4-4,20,1,470,469,469.0,469.0,469.0,0.0,0.0
14-4-4,21,1,467,466,466.0,466.0,466.0,0.0,0.0
14-4-4,22,1,84,83,83.0,83.0,83.0,0.0,0.0
14-4-4,23,1,378,377,377.0,377.0,377.0,0.0,0.0
14-4-4,24,1,568,567,567.0,567.0,567.0,0.0,0.0
14-4-4,25,1,665,664,664.0,664.0,664.0,0.0,0.0
14-4-4,26,1,662,661,661.0,661.0,661.0,0.0,0.0
14-4-4,27,1,274,273,273.0,273.0,273.0,0.0,0.0
14-4-4,28,1,279,278,278.0,278.0,278.0,0.0,0.0
14-4-4,29,1,86,85,85.0,85.0,85.0,0.0,0.0
14-4-4,3,1,84,83,83.0,83.0,83.0,0.0,0.0
14-4-4,30,1,75,74,74.0,74.0,74.0,0.0,0.0
14-4-4,31,1,861,860,860.0,860.0,860.0,0.0,0.0
14-4-4,32,1,569,568,568.0,568.0,568.0,0.0,0.0
14-4-4,33,1,381,380,380.0,380.0,380.0,0.0,0.0
14-4-4,34,1,365,364,364.0,364.0,364.0,0.0,0.0
14-4-4,35,1,73,72,72.0,72.0,72.0,0.0,0.0
14-4-4,36,1,79,78,78.0,78.0,78.0,0.0,0.0
14-4-4,37,1,383,382,382.0,382.0,382.0,0.0,0.0
14-4-4,38,1,272,271,271.0,271.0,271.0,0.0,0.0
14-4-4,39,1,84,83,83.0,83.0,83.0,0.0,0.0
14-4-4,4,1,284,283,283.0,283.0,283.0,0.0,0.0
14-4-4,40,1,284,283,283.0,283.0,283.0,0.0,0.0
14-4-4,41,1,475,474,474.0,474.0,474.0,0.0,0.0
14-4-4,42,1,567,566,566.0,566.0,566.0,0.0,0.0
14-4-4,43,1,567,566,566.0,566.0,566.0,0.0,0.0
14-4-4,44,1,377,376,376.0,376.0,376.0,0.0,0.0
