Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
20-4-4,74,47,306,259,2.0,8.0,5.51063829787234,1.316654859293576,1.7335800185013865
20-4-4,75,52,358,306,3.0,9.0,5.884615384615384,2.035506837243382,4.143288084464556
20-4-4,76,54,372,318,2.0,9.0,5.888888888888889,1.9295777880799656,3.7232704402515724
20-4-4,77,51,379,328,2.0,11.0,6.431372549019608,2.5787974093424584,6.650196078431375
20-4-4,78,54,362,308,2.0,9.0,5.703703703703704,1.9194105780566681,3.6841369671558333
20-4-4,8,54,361,307,2.0,8.0,5.685185185185185,1.6348108663796503,2.672606568832983
20-4-4,80,50,326,276,2.0,8.0,5.52,1.328494621435734,1.7648979591836742
20-4-4,81,53,290,237,3.0,6.0,4.471698113207547,0.7746903496759121,0.600145137880987
20-4-4,82,53,290,237,3.0,6.0,4.471698113207547,0.86832671945941,0.753991291727141
20-4-4,84,52,437,385,2.0,13.0,7.403846153846154,3.2795242085843483,10.755279034690798
20-4-4,85,54,342,288,2.0,9.0,5.333333333333334,1.893384710083336,3.584905660377359
20-4-4,86,53,291,238,3.0,6.0,4.490566037735849,1.0119030340713706,1.0239477503628456
20-4-4,87,56,334,278,2.0,7.0,4.9642857142857135,1.4265570213156347,2.0350649350649364
20-4-4,89,52,411,359,2.0,12.0,6.903846153846154,2.878313881319527,8.28469079939668
20-4-4,9,53,337,284,2.0,8.0,5.3584905660377355,1.6419306134341871,2.6959361393323658
20-4-4,90,50,283,233,2.0,7.0,4.66,1.117760150972489,1.2493877551020414
20-4-4,91,54,340,286,2.0,7.0,5.296296296296296,1.3546513807553031,1.8350803633822492
20-4-4,92,51,377,326,2.0,9.0,6.392156862745099,1.7097184724105778,2.92313725490196
20-4-4,93,54,344,290,2.0,8.0,5.37037037037037,1.6744055131603415,2.8036338225017463
20-4-4,94,49,353,304,2.0,9.0,6.204081632653061,1.814060728457184,3.2908163265306087
20-4-4,95,56,378,322,3.0,10.0,5.75,2.0823937275077533,4.336363636363636
20-4-4,96,56,421,365,2.0,11.0,6.517857142857143,2.248159420330502,5.054220779220779
20-4-4,97,55,330,275,2.0,7.0,5.0,1.3471506281091268,1.8148148148148149
20-4-4,98,54,462,408,2.0,14.0,7.555555555555555,3.456831719160074,11.949685534591193
20-4-4,99,54,329,275,2.0,8.0,5.092592592592593,1.5080728489300324,2.274283717679944
4-4-4,1,11,53,42,2.0,5.0,3.8181818181818183,1.1677484162422844,1.3636363636363638
4-4-4,10,8,33,25,2.0,4.0,3.125,0.6408699444616557,0.4107142857142857
4-4-4,100,8,33,25,2.0,4.0,3.125,0.6408699444616557,0.4107142857142857
4-4-4,101,5,29,24,3.0,6.0,4.8,1.3038404810405297,1.7
4-4-4,102,4,17,13,3.0,4.0,3.25,0.5,0.25
4-4-4,103,3,13,10,2.0,4.0,3.3333333333333335,1.1547005383792515,1.3333333333333333
4-4-4,104,4,18,14,3.0,4.0,3.5,0.5773502691896257,0.3333333333333333
4-4-4,105,9,36,27,3.0,3.0,3.0,0.0,0.0
4-4-4,11,8,36,28,3.0,4.0,3.5,0.5345224838248488,0.2857142857142857
4-4-4,12,6,26,20,2.0,4.0,3.3333333333333335,0.816496580927726,0.6666666666666666
4-4-4,13,8,34,26,2.0,5.0,3.25,1.2817398889233114,1.6428571428571428
4-4-4,14,11,44,33,3.0,3.0,3.0,0.0,0.0
4-4-4,15,8,37,29,2.0,5.0,3.625,1.3024701806293193,1.6964285714285714
4-4-4,16,9,40,31,2.0,4.0,3.4444444444444446,0.8819171036881968,0.7777777777777776
4-4-4,17,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666667,0.44444444444444453
4-4-4,18,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666667,0.44444444444444453
4-4-4,19,7,28,21,3.0,3.0,3.0,0.0,0.0
4-4-4,2,8,33,25,2.0,4.0,3.125,0.6408699444616557,0.4107142857142857
4-4-4,20,9,40,31,3.0,4.0,3.4444444444444446,0.5270462766947298,0.27777777777777773
4-4-4,21,7,30,23,3.0,4.0,3.2857142857142856,0.48795003647426666,0.23809523809523814
4-4-4,22,9,42,33,2.0,5.0,3.6666666666666665,1.224744871391589,1.5
4-4-4,23,9,40,31,2.0,4.0,3.4444444444444446,0.8819171036881968,0.7777777777777776
4-4-4,24,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666666,0.4444444444444444
4-4-4,25,7,30,23,2.0,4.0,3.2857142857142856,0.7559289460184545,0.5714285714285715
4-4-4,26,9,37,28,2.0,4.0,3.111111111111111,0.6009252125773316,0.36111111111111116
4-4-4,27,7,28,21,3.0,3.0,3.0,0.0,0.0
4-4-4,28,10,43,33,2.0,4.0,3.3,0.6749485577105528,0.4555555555555555
4-4-4,29,10,44,34,2.0,5.0,3.4,1.2649110640673518,1.6
4-4-4,3,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666667,0.44444444444444453
4-4-4,30,8,34,26,2.0,4.0,3.25,0.7071067811865476,0.5
4-4-4,31,9,35,26,2.0,3.0,2.888888888888889,0.33333333333333337,0.11111111111111115
4-4-4,32,11,49,38,2.0,4.0,3.4545454545454546,0.8201995322647243,0.6727272727272726
4-4-4,33,8,39,31,2.0,5.0,3.875,1.1259916264596033,1.2678571428571428
4-4-4,35,8,35,27,2.0,4.0,3.375,0.9161253813129043,0.8392857142857143
4-4-4,36,9,39,30,2.0,4.0,3.3333333333333335,0.7071067811865475,0.49999999999999994
4-4-4,37,9,40,31,2.0,5.0,3.4444444444444446,1.3333333333333335,1.7777777777777781
4-4-4,38,10,40,30,2.0,4.0,3.0,0.6666666666666666,0.4444444444444444
4-4-4,39,7,29,22,2.0,4.0,3.142857142857143,0.6900655593423541,0.4761904761904761
4-4-4,4,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666667,0.44444444444444453
4-4-4,41,7,32,25,2.0,5.0,3.5714285714285716,1.2724180205607036,1.6190476190476193
4-4-4,42,8,34,26,2.0,4.0,3.25,0.7071067811865476,0.5
4-4-4,43,7,34,27,2.0,5.0,3.857142857142857,1.2149857925879117,1.476190476190476
4-4-4,44,9,39,30,2.0,4.0,3.3333333333333335,0.7071067811865475,0.49999999999999994
4-4-4,45,8,39,31,2.0,5.0,3.875,1.1259916264596033,1.2678571428571428
4-4-4,47,10,42,32,2.0,4.0,3.2,0.6324555320336759,0.39999999999999997
4-4-4,48,10,45,35,2.0,4.0,3.5,0.8498365855987975,0.7222222222222222
