Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
12-4-4,36,4,2992,2988,747.0,747.0,747.0,0.0,0.0
12-4-4,37,4,3364,3360,840.0,840.0,840.0,0.0,0.0
12-4-4,38,4,2988,2984,746.0,746.0,746.0,0.0,0.0
12-4-4,39,4,3112,3108,777.0,777.0,777.0,0.0,0.0
12-4-4,4,4,3820,3816,954.0,954.0,954.0,0.0,0.0
12-4-4,40,4,4060,4056,1014.0,1014.0,1014.0,0.0,0.0
12-4-4,41,4,2692,2688,672.0,672.0,672.0,0.0,0.0
12-4-4,42,4,2620,2616,654.0,654.0,654.0,0.0,0.0
12-4-4,43,4,2068,2064,516.0,516.0,516.0,0.0,0.0
12-4-4,44,4,2636,2632,658.0,658.0,658.0,0.0,0.0
12-4-4,45,4,2460,2456,614.0,614.0,614.0,0.0,0.0
12-4-4,46,4,3660,3656,914.0,914.0,914.0,0.0,0.0
12-4-4,47,4,3628,3624,906.0,906.0,906.0,0.0,0.0
12-4-4,48,4,3460,3456,864.0,864.0,864.0,0.0,0.0
12-4-4,49,4,3864,3860,965.0,965.0,965.0,0.0,0.0
12-4-4,5,4,3080,3076,769.0,769.0,769.0,0.0,0.0
12-4-4,50,4,4228,4224,1056.0,1056.0,1056.0,0.0,0.0
12-4-4,51,4,4248,4244,1061.0,1061.0,1061.0,0.0,0.0
12-4-4,52,4,2396,2392,598.0,598.0,598.0,0.0,0.0
12-4-4,53,4,3164,3160,790.0,790.0,790.0,0.0,0.0
12-4-4,54,4,2544,2540,635.0,635.0,635.0,0.0,0.0
12-4-4,55,4,2116,2112,528.0,528.0,528.0,0.0,0.0
12-4-4,56,4,4036,4032,1008.0,1008.0,1008.0,0.0,0.0
12-4-4,57,4,3816,3812,953.0,953.0,953.0,0.0,0.0
12-4-4,58,4,6208,6204,1551.0,1551.0,1551.0,0.0,0.0
12-4-4,59,4,4692,4688,1172.0,1172.0,1172.0,0.0,0.0
12-4-4,6,4,3552,3548,887.0,887.0,887.0,0.0,0.0
12-4-4,60,4,3828,3824,956.0,956.0,956.0,0.0,0.0
12-4-4,61,4,3512,3508,877.0,877.0,877.0,0.0,0.0
12-4-4,62,4,4152,4148,1037.0,1037.0,1037.0,0.0,0.0
12-4-4,63,4,2716,2712,678.0,678.0,678.0,0.0,0.0
12-4-4,64,4,3064,3060,765.0,765.0,765.0,0.0,0.0
12-4-4,65,4,3412,3408,852.0,852.0,852.0,0.0,0.0
12-4-4,66,4,1372,1368,342.0,342.0,342.0,0.0,0.0
12-4-4,67,4,2508,2504,626.0,626.0,626.0,0.0,0.0
12-4-4,68,4,2296,2292,573.0,573.0,573.0,0.0,0.0
12-4-4,69,4,4300,4296,1074.0,1074.0,1074.0,0.0,0.0
12-4-4,7,4,3112,3108,777.0,777.0,777.0,0.0,0.0
12-4-4,70,4,2980,2976,744.0,744.0,744.0,0.0,0.0
12-4-4,71,4,4348,4344,1086.0,1086.0,1086.0,0.0,0.0
12-4-4,72,4,3772,3768,942.0,942.0,942.0,0.0,0.0
12-4-4,73,4,3088,3084,771.0,771.0,771.0,0.0,0.0
12-4-4,74,4,2772,2768,692.0,692.0,692.0,0.0,0.0
12-4-4,75,4,4987,4983,1242.0,1247.0,1245.75,2.5,6.25
12-4-4,76,4,2708,2704,676.0,676.0,676.0,0.0,0.0
12-4-4,77,4,2788,2784,696.0,696.0,696.0,0.0,0.0
12-4-4,78,4,4332,4328,1082.0,1082.0,1082.0,0.0,0.0
12-4-4,79,4,2728,2724,681.0,681.0,681.0,0.0,0.0
12-4-4,8,4,3052,3048,762.0,762.0,762.0,0.0,0.0
12-4-4,80,4,3864,3860,965.0,965.0,965.0,0.0,0.0
12-4-4,81,4,2744,2740,685.0,685.0,685.0,0.0,0.0
12-4-4,82,4,2604,2600,650.0,650.0,650.0,0.0,0.0
12-4-4,83,4,3092,3088,772.0,772.0,772.0,0.0,0.0
12-4-4,84,4,4268,4264,1066.0,1066.0,1066.0,0.0,0.0
12-4-4,85,4,4632,4628,1157.0,1157.0,1157.0,0.0,0.0
12-4-4,86,4,3120,3116,779.0,779.0,779.0,0.0,0.0
12-4-4,87,4,2528,2524,631.0,631.0,631.0,0.0,0.0
12-4-4,88,4,1952,1948,487.0,487.0,487.0,0.0,0.0
12-4-4,89,4,2524,2520,630.0,630.0,630.0,0.0,0.0
12-4-4,9,4,3888,3884,971.0,971.0,971.0,0.0,0.0
12-4-4,90,4,2388,2384,596.0,596.0,596.0,0.0,0.0
12-4-4,91,4,2036,2032,508.0,508.0,508.0,0.0,0.0
12-4-4,92,4,3756,3752,938.0,938.0,938.0,0.0,0.0
12-4-4,93,4,4228,4224,1056.0,1056.0,1056.0,0.0,0.0
12-4-4,94,4,3188,3184,796.0,796.0,796.0,0.0,0.0
