Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score			
14-4-4	12	154208	1568	152640	1%			
14-4-4	13	154208	10230	143978	7%			
14-4-4	14	154208	1568	152640	1%			
14-4-4	15	154208	3542	150666	2%			
14-4-4	16	154208	1568	152640	1%			
14-4-4	17	154208	1568	152640	1%			
14-4-4	18	154208	1568	152640	1%			
14-4-4	2	154208	1568	152640	1%			
14-4-4	20	154208	1568	152640	1%			
14-4-4	21	154208	3542	150666	2%			
14-4-4	22	154208	3294	150914	2%			
14-4-4	23	154208	1568	152640	1%			
14-4-4	24	154208	8693	145515	6%			
14-4-4	25	154208	3370	150838	2%			
14-4-4	26	154208	5268	148940	3%			
14-4-4	27	154208	1568	152640	1%			
14-4-4	28	154208	10712	143496	7%			
14-4-4	29	154208	3294	150914	2%			
14-4-4	3	154208	1568	152640	1%			
14-4-4	30	154208	3294	150914	2%			
14-4-4	31	154208	1568	152640	1%			
14-4-4	32	154208	1568	152640	1%			
14-4-4	33	154208	8570	145638	6%			
14-4-4	34	154208	5024	149184	3%			
14-4-4	35	154208	1568	152640	1%			
14-4-4	36	154208	3294	150914	2%			
14-4-4	37	154208	10626	143582	7%			
14-4-4	38	154208	3294	150914	2%			
14-4-4	39	154208	3294	150914	2%			
14-4-4	4	154208	1568	152640	1%			
14-4-4	40	154208	3370	150838	2%			
14-4-4	41	154208	5106	149102	3%			
14-4-4	42	154208	1568	152640	1%			
14-4-4	43	154208	3370	150838	2%			
14-4-4	44	154208	14046	140162	9%			
14-4-4	45	154208	3542	150666	2%			
14-4-4	46	154208	3294	150914	2%			
14-4-4	47	154208	3294	150914	2%			
14-4-4	48	154208	1568	152640	1%			
14-4-4	49	154208	8475	145733	5%			
14-4-4	5	154208	5024	149184	3%			
14-4-4	50	154208	3294	150914	2%			
14-4-4	51	154208	1568	152640	1%			
14-4-4	52	154208	3294	150914	2%			
14-4-4	53	154208	5020	149188	3%			
14-4-4	54	154208	3294	150914	2%			
14-4-4	55	154208	10211	143997	7%			
14-4-4	56	154208	1568	152640	1%			
14-4-4	57	154208	1568	152640	1%			
14-4-4	58	154208	1568	152640	1%			
14-4-4	59	154208	1568	152640	1%			
14-4-4	6	154208	1568	152640	1%			
14-4-4	60	154208	1568	152640	1%			
14-4-4	61	154208	3294	150914	2%			
14-4-4	62	154208	3294	150914	2%			
14-4-4	63	154208	6754	147454	4%			
14-4-4	64	154208	6839	147369	4%			
14-4-4	65	154208	3294	150914	2%			
14-4-4	66	154208	6839	147369	4%			
14-4-4	67	154208	6833	147375	4%			
14-4-4	68	154208	1568	152640	1%			
14-4-4	69	154208	3542	150666	2%			
14-4-4	7	154208	12102	142106	8%			
14-4-4	70	154208	11116	143092	7%			
14-4-4	71	154208	1568	152640	1%			
14-4-4	72	154208	7239	146969	5%			
14-4-4	73	154208	4362	149846	3%			
14-4-4	74	154208	3294	150914	2%			
14-4-4	75	154208	3294	150914	2%			
14-4-4	76	154208	8650	145558	6%			
14-4-4	77	154208	3294	150914	2%			
14-4-4	78	154208	3370	150838	2%			
14-4-4	79	154208	10457	143751	7%			
14-4-4	8	154208	3294	150914	2%			
14-4-4	80	154208	3370	150838	2%			
14-4-4	81	154208	1568	152640	1%			
14-4-4	82	154208	1568	152640	1%			
14-4-4	83	154208	3294	150914	2%			
14-4-4	84	154208	1568	152640	1%			
14-4-4	85	154208	1568	152640	1%			
14-4-4	86	154208	1568	152640	1%			
14-4-4	87	154208	3294	150914	2%			
14-4-4	88	154208	5024	149184	3%			
14-4-4	89	154208	5113	149095	3%			
14-4-4	9	154208	3542	150666	2%			
14-4-4	90	154208	1568	152640	1%			
