Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
12-4-4,38,12,343,331,22.0,36.0,27.583333333333332,4.14418175569586,17.174242424242422
12-4-4,39,17,438,421,16.0,33.0,24.764705882352942,6.887755546663095,47.441176470588225
12-4-4,4,8,295,287,33.0,40.0,35.875,2.850438562747845,8.125
12-4-4,40,12,402,390,29.0,37.0,32.5,2.8762349126466136,8.272727272727273
12-4-4,41,14,392,378,12.0,36.0,27.0,7.168306312136458,51.38461538461539
12-4-4,42,10,285,275,6.0,46.0,27.5,18.21629307332678,331.8333333333333
12-4-4,43,12,407,395,24.0,39.0,32.916666666666664,5.759708536396823,33.17424242424243
12-4-4,44,11,358,347,17.0,43.0,31.545454545454547,10.801515045248387,116.67272727272727
12-4-4,45,11,393,382,28.0,39.0,34.72727272727273,3.1013193673309134,9.618181818181817
12-4-4,46,12,295,283,3.0,43.0,23.583333333333336,14.481702143384148,209.719696969697
12-4-4,47,15,435,420,18.0,39.0,28.0,7.502380574571933,56.285714285714285
12-4-4,48,13,375,362,11.0,38.0,27.846153846153847,11.08938045944673,122.97435897435896
12-4-4,49,10,313,303,17.0,42.0,30.3,7.902882737049535,62.45555555555555
12-4-4,5,13,400,387,13.0,36.0,29.76923076923077,6.071159226949526,36.858974358974365
12-4-4,50,9,339,330,30.0,44.0,36.666666666666664,5.291502622129181,28.0
12-4-4,51,14,357,343,14.0,31.0,24.5,5.47371340696044,29.96153846153846
12-4-4,52,11,346,335,25.0,38.0,30.454545454545453,3.933538772241513,15.472727272727269
12-4-4,53,11,456,445,38.0,42.0,40.45454545454545,1.2933395813657265,1.6727272727272726
12-4-4,54,12,327,315,5.0,39.0,26.25,13.811227316933133,190.75
12-4-4,55,13,370,357,16.0,34.0,27.46153846153846,5.896543968226709,34.76923076923078
12-4-4,56,12,360,348,21.0,37.0,29.0,5.908391567007971,34.90909090909091
12-4-4,57,13,455,442,25.0,40.0,34.0,5.887840577551898,34.666666666666664
12-4-4,58,11,390,379,28.0,41.0,34.45454545454545,5.007267445696033,25.07272727272727
12-4-4,59,15,374,359,11.0,37.0,23.933333333333334,8.572936375317274,73.4952380952381
12-4-4,6,16,422,406,23.0,28.0,25.375,1.5438048235879214,2.3833333333333333
12-4-4,60,12,377,365,24.0,34.0,30.416666666666668,3.3427896171076075,11.174242424242424
12-4-4,61,14,478,464,28.0,35.0,33.142857142857146,2.070196678027063,4.285714285714287
12-4-4,62,10,282,272,6.0,38.0,27.2,12.787146323989225,163.51111111111112
12-4-4,63,15,407,392,6.0,34.0,26.133333333333333,6.8646783991538545,47.12380952380953
12-4-4,64,13,479,466,31.0,38.0,35.84615384615385,2.0754980866510837,4.307692307692309
12-4-4,65,11,388,377,14.0,43.0,34.27272727272727,9.05638900545807,82.01818181818183
12-4-4,66,14,423,409,6.0,38.0,29.21428571428571,12.813325824364206,164.18131868131866
12-4-4,67,11,393,382,33.0,38.0,34.72727272727273,1.8488325554743505,3.418181818181817
12-4-4,68,7,245,238,14.0,49.0,34.0,11.718930554164631,137.33333333333334
12-4-4,69,18,458,440,10.0,35.0,24.444444444444443,7.406056521699951,54.84967320261438
12-4-4,7,13,432,419,27.0,40.0,32.23076923076923,4.2259879743054585,17.858974358974354
12-4-4,70,7,299,292,34.0,49.0,41.714285714285715,5.498917642417936,30.238095238095237
12-4-4,71,14,333,319,17.0,32.0,22.785714285714285,5.699913243989858,32.489010989010985
12-4-4,72,12,264,252,6.0,30.0,21.0,8.17979773032872,66.9090909090909
12-4-4,73,13,383,370,22.0,34.0,28.46153846153846,4.313068988848208,18.602564102564102
12-4-4,74,12,299,287,20.0,32.0,23.916666666666668,3.752776749732568,14.083333333333336
12-4-4,75,11,381,370,26.0,39.0,33.63636363636363,4.2490640680678675,18.054545454545455
12-4-4,76,11,411,400,22.0,41.0,36.36363636363637,5.162804030228676,26.654545454545456
12-4-4,77,10,350,340,24.0,40.0,34.0,5.436502143433364,29.555555555555557
12-4-4,78,16,372,356,9.0,33.0,22.25,7.14142842854285,51.0
12-4-4,79,12,308,296,17.0,37.0,24.666666666666668,6.139785802205945,37.696969696969695
12-4-4,8,10,323,313,14.0,39.0,31.3,9.798525966241613,96.01111111111112
12-4-4,80,12,342,330,21.0,35.0,27.5,5.418822414845901,29.363636363636363
12-4-4,81,7,176,169,3.0,46.0,24.142857142857142,16.707568857941517,279.14285714285717
12-4-4,82,11,440,429,23.0,45.0,39.0,6.81175454637056,46.4
12-4-4,83,8,305,297,32.0,45.0,37.125,5.642631098546644,31.839285714285715
12-4-4,84,12,402,390,12.0,44.0,32.5,10.647236090349287,113.36363636363636
12-4-4,85,7,268,261,22.0,47.0,37.285714285714285,11.025943432261412,121.57142857142857
12-4-4,86,8,294,286,24.0,46.0,35.75,8.447315719040153,71.35714285714286
12-4-4,87,9,320,311,17.0,42.0,34.55555555555556,7.5351030369715435,56.77777777777777
12-4-4,88,9,313,304,20.0,43.0,33.77777777777778,9.718253158075502,94.44444444444446
12-4-4,89,6,221,215,9.0,51.0,35.833333333333336,20.429553755935704,417.3666666666667
12-4-4,9,14,289,275,5.0,34.0,19.642857142857146,12.597967741218868,158.7087912087912
12-4-4,90,10,334,324,16.0,41.0,32.4,9.16757571250134,84.04444444444445
12-4-4,91,9,310,301,19.0,43.0,33.44444444444444,10.296979060762325,106.02777777777777
12-4-4,92,12,320,308,6.0,40.0,25.666666666666664,13.35755375898755,178.42424242424244
12-4-4,93,15,446,431,22.0,35.0,28.733333333333334,3.172801075810878,10.066666666666665
12-4-4,94,11,327,316,7.0,39.0,28.727272727272727,11.748113968556051,138.01818181818183
12-4-4,95,11,363,352,22.0,40.0,32.0,6.308724118235001,39.8
12-4-4,96,15,388,373,7.0,36.0,24.866666666666664,11.544118271512408,133.26666666666665
12-4-4,97,14,455,441,19.0,38.0,31.5,6.936525399318063,48.11538461538461
12-4-4,99,11,381,370,23.0,40.0,33.63636363636363,6.975281030506617,48.65454545454545
