Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
20-4-4,85,54,459,405,3.0,12.0,7.5,2.4705816288691334,6.10377358490566
20-4-4,86,54,388,334,3.0,10.0,6.185185185185185,1.9529761910466932,3.81411600279525
20-4-4,87,56,437,381,3.0,10.0,6.803571428571428,2.101251945926462,4.415259740259743
20-4-4,89,53,556,503,2.0,18.0,9.490566037735851,4.163128638182486,17.331640058055157
20-4-4,9,53,485,432,2.0,12.0,8.150943396226413,2.5449514610385195,6.476777939042095
20-4-4,90,50,355,305,2.0,11.0,6.1,2.130919127168043,4.540816326530615
20-4-4,91,54,434,380,2.0,11.0,7.037037037037036,2.2816988288931097,5.206149545772189
20-4-4,92,51,563,512,2.0,15.0,10.03921568627451,2.7419758154566236,7.518431372549016
20-4-4,93,55,491,436,3.0,13.0,7.927272727272727,2.8600346116433593,8.17979797979798
20-4-4,94,50,526,476,3.0,14.0,9.520000000000001,2.78655664919694,7.764897959183676
20-4-4,95,56,531,475,4.0,16.0,8.482142857142858,3.4535413783460096,11.926948051948056
20-4-4,96,57,652,595,3.0,19.0,10.43859649122807,4.183375021010672,17.50062656641604
20-4-4,97,55,431,376,2.0,11.0,6.836363636363636,2.192272931471035,4.806060606060606
20-4-4,98,54,707,653,3.0,22.0,12.092592592592592,5.876940927138554,34.53843466107617
20-4-4,99,55,441,386,2.0,11.0,7.018181818181818,2.094887154133174,4.38855218855219
4-4-4,1,11,53,42,2.0,5.0,3.8181818181818183,1.1677484162422844,1.3636363636363638
4-4-4,10,8,33,25,2.0,4.0,3.125,0.6408699444616557,0.4107142857142857
4-4-4,100,8,33,25,2.0,4.0,3.125,0.6408699444616557,0.4107142857142857
4-4-4,101,5,29,24,3.0,6.0,4.8,1.3038404810405297,1.7
4-4-4,102,4,17,13,3.0,4.0,3.25,0.5,0.25
4-4-4,103,3,13,10,2.0,4.0,3.3333333333333335,1.1547005383792515,1.3333333333333333
4-4-4,104,4,18,14,3.0,4.0,3.5,0.5773502691896257,0.3333333333333333
4-4-4,105,9,36,27,3.0,3.0,3.0,0.0,0.0
4-4-4,11,8,36,28,3.0,4.0,3.5,0.5345224838248488,0.2857142857142857
4-4-4,12,6,26,20,2.0,4.0,3.3333333333333335,0.816496580927726,0.6666666666666666
4-4-4,13,8,34,26,2.0,5.0,3.25,1.2817398889233114,1.6428571428571428
4-4-4,14,11,44,33,3.0,3.0,3.0,0.0,0.0
4-4-4,15,8,37,29,2.0,5.0,3.625,1.3024701806293193,1.6964285714285714
4-4-4,16,9,40,31,2.0,4.0,3.4444444444444446,0.8819171036881968,0.7777777777777776
4-4-4,17,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666667,0.44444444444444453
4-4-4,18,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666667,0.44444444444444453
4-4-4,19,7,28,21,3.0,3.0,3.0,0.0,0.0
4-4-4,2,8,33,25,2.0,4.0,3.125,0.6408699444616557,0.4107142857142857
4-4-4,20,9,40,31,3.0,4.0,3.4444444444444446,0.5270462766947298,0.27777777777777773
4-4-4,21,7,30,23,3.0,4.0,3.2857142857142856,0.48795003647426666,0.23809523809523814
4-4-4,22,9,42,33,2.0,5.0,3.6666666666666665,1.224744871391589,1.5
4-4-4,23,9,40,31,2.0,4.0,3.4444444444444446,0.8819171036881968,0.7777777777777776
4-4-4,24,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666666,0.4444444444444444
4-4-4,25,7,30,23,2.0,4.0,3.2857142857142856,0.7559289460184545,0.5714285714285715
4-4-4,26,9,37,28,2.0,4.0,3.111111111111111,0.6009252125773316,0.36111111111111116
4-4-4,27,7,28,21,3.0,3.0,3.0,0.0,0.0
4-4-4,28,10,43,33,2.0,4.0,3.3,0.6749485577105528,0.4555555555555555
4-4-4,29,10,44,34,2.0,5.0,3.4,1.2649110640673518,1.6
4-4-4,3,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666667,0.44444444444444453
4-4-4,30,8,34,26,2.0,4.0,3.25,0.7071067811865476,0.5
4-4-4,31,9,35,26,2.0,3.0,2.888888888888889,0.33333333333333337,0.11111111111111115
4-4-4,32,11,49,38,2.0,4.0,3.4545454545454546,0.8201995322647243,0.6727272727272726
4-4-4,33,8,39,31,2.0,5.0,3.875,1.1259916264596033,1.2678571428571428
4-4-4,35,8,35,27,2.0,4.0,3.375,0.9161253813129043,0.8392857142857143
4-4-4,36,9,39,30,2.0,4.0,3.3333333333333335,0.7071067811865475,0.49999999999999994
4-4-4,37,9,40,31,2.0,5.0,3.4444444444444446,1.3333333333333335,1.7777777777777781
4-4-4,38,10,40,30,2.0,4.0,3.0,0.6666666666666666,0.4444444444444444
4-4-4,39,7,29,22,2.0,4.0,3.142857142857143,0.6900655593423541,0.4761904761904761
4-4-4,4,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666667,0.44444444444444453
4-4-4,41,7,32,25,2.0,5.0,3.5714285714285716,1.2724180205607036,1.6190476190476193
4-4-4,42,8,34,26,2.0,4.0,3.25,0.7071067811865476,0.5
4-4-4,43,7,34,27,2.0,5.0,3.857142857142857,1.2149857925879117,1.476190476190476
4-4-4,44,9,39,30,2.0,4.0,3.3333333333333335,0.7071067811865475,0.49999999999999994
4-4-4,45,8,39,31,2.0,5.0,3.875,1.1259916264596033,1.2678571428571428
4-4-4,47,10,42,32,2.0,4.0,3.2,0.6324555320336759,0.39999999999999997
4-4-4,48,10,45,35,2.0,4.0,3.5,0.8498365855987975,0.7222222222222222
4-4-4,49,10,41,31,2.0,4.0,3.1,0.7378647873726218,0.5444444444444445
4-4-4,5,8,35,27,2.0,4.0,3.375,0.9161253813129043,0.8392857142857143
4-4-4,50,8,38,30,2.0,5.0,3.75,1.2817398889233114,1.6428571428571428
4-4-4,51,11,47,36,2.0,4.0,3.272727272727273,0.6466697906828632,0.41818181818181815
4-4-4,52,8,34,26,2.0,4.0,3.25,0.7071067811865476,0.5
4-4-4,53,10,41,31,2.0,4.0,3.1,0.7378647873726218,0.5444444444444444
4-4-4,54,6,25,19,2.0,4.0,3.1666666666666665,0.752772652709081,0.5666666666666667
4-4-4,55,9,43,34,2.0,5.0,3.7777777777777777,1.0929064207170003,1.1944444444444446
4-4-4,56,8,32,24,3.0,3.0,3.0,0.0,0.0
4-4-4,57,6,25,19,2.0,4.0,3.1666666666666665,0.752772652709081,0.5666666666666667
4-4-4,58,7,31,24,3.0,4.0,3.4285714285714284,0.5345224838248487,0.28571428571428564
4-4-4,59,9,44,35,2.0,5.0,3.888888888888889,1.0540925533894598,1.1111111111111112
4-4-4,6,6,32,26,3.0,5.0,4.333333333333333,0.816496580927726,0.6666666666666666
4-4-4,60,10,41,31,2.0,4.0,3.1,0.7378647873726218,0.5444444444444445
4-4-4,62,7,28,21,3.0,3.0,3.0,0.0,0.0
4-4-4,63,7,33,26,2.0,4.0,3.7142857142857144,0.7559289460184546,0.5714285714285716
4-4-4,64,12,49,37,2.0,4.0,3.0833333333333335,0.6685579234215215,0.4469696969696971
4-4-4,65,8,37,29,2.0,4.0,3.625,0.7440238091428449,0.5535714285714286
4-4-4,66,8,36,28,2.0,4.0,3.5,0.7559289460184544,0.5714285714285714
4-4-4,67,7,32,25,2.0,4.0,3.5714285714285716,0.7867957924694432,0.6190476190476192
4-4-4,69,9,40,31,2.0,4.0,3.4444444444444446,0.8819171036881968,0.7777777777777776
4-4-4,7,9,40,31,2.0,5.0,3.4444444444444446,1.130388330520878,1.2777777777777777
4-4-4,70,9,37,28,2.0,4.0,3.111111111111111,0.7817359599705717,0.6111111111111112
4-4-4,71,7,31,24,2.0,4.0,3.4285714285714284,0.7867957924694432,0.6190476190476192
4-4-4,72,11,49,38,2.0,4.0,3.4545454545454546,0.8201995322647243,0.6727272727272726
4-4-4,73,8,34,26,2.0,4.0,3.25,0.7071067811865476,0.5
4-4-4,74,6,25,19,2.0,4.0,3.1666666666666665,0.752772652709081,0.5666666666666667
4-4-4,75,8,33,25,2.0,4.0,3.125,0.8345229603962802,0.6964285714285714
4-4-4,76,10,42,32,2.0,4.0,3.2,0.6324555320336759,0.39999999999999997
4-4-4,77,9,36,27,3.0,3.0,3.0,0.0,0.0
4-4-4,78,8,35,27,3.0,4.0,3.375,0.5175491695067657,0.26785714285714285
4-4-4,79,11,45,34,2.0,4.0,3.090909090909091,0.7006490497453708,0.490909090909091
4-4-4,8,7,32,25,2.0,5.0,3.5714285714285716,1.2724180205607036,1.6190476190476193
4-4-4,81,10,47,37,2.0,5.0,3.7,1.1595018087284057,1.3444444444444443
4-4-4,82,8,31,23,2.0,3.0,2.875,0.3535533905932738,0.125
4-4-4,83,9,45,36,2.0,5.0,4.0,1.118033988749895,1.25
4-4-4,84,5,22,17,2.0,4.0,3.4,0.8944271909999159,0.8
4-4-4,85,9,44,35,2.0,5.0,3.888888888888889,1.2692955176439846,1.611111111111111
4-4-4,86,9,44,35,2.0,5.0,3.888888888888889,1.2692955176439846,1.611111111111111
4-4-4,87,9,40,31,2.0,5.0,3.4444444444444446,1.130388330520878,1.2777777777777777
4-4-4,88,8,32,24,3.0,3.0,3.0,0.0,0.0
4-4-4,89,8,32,24,3.0,3.0,3.0,0.0,0.0
4-4-4,9,9,38,29,2.0,4.0,3.2222222222222223,0.6666666666666667,0.44444444444444453
